Date,MaxTemp,MinTemp,AvgTemp,Departure,HDD,CDD,Precipitation,NewSnow,SnowDepth
2023-05-24,84,49,66.5,-0.1,0,2,0.00,0.0,0
2023-05-25,74,54,64.0,-2.9,1,0,0.00,0.0,0
2023-05-26,75,49,62.0,-5.1,3,0,0.00,0.0,0
2023-05-27,78,48,63.0,-4.4,2,0,0.00,0.0,0
2023-05-28,77,52,64.5,-3.2,0,0,T,0.0,0
2023-05-29,78,64,71.0,3.0,0,6,T,0.0,0
2023-05-30,77,58,67.5,-0.9,0,3,0.00,0.0,0
2023-05-31,80,46,63.0,-5.7,2,0,0.00,0.0,0
2023-06-01,87,54,70.5,1.5,0,6,0.00,0.0,0
2023-06-02,97,59,78.0,8.7,0,13,0.00,0.0,0
2023-06-03,85,62,73.5,3.9,0,9,0.00,0.0,0
2023-06-04,80,59,69.5,-0.5,0,5,0.00,0.0,0
2023-06-05,82,56,69.0,-1.3,0,4,0.00,0.0,0
2023-06-06,83,56,69.5,-1.1,0,5,T,0.0,0
2023-06-07,81,55,68.0,-2.9,0,3,0.00,0.0,0
2023-06-08,80,56,68.0,-3.3,0,3,0.00,0.0,0
2023-06-09,77,53,65.0,-6.6,0,0,0.01,0.0,0
2023-06-10,87,51,69.0,-2.9,0,4,0.00,0.0,0
2023-06-11,89,58,73.5,1.3,0,9,0.00,0.0,0
2023-06-12,81,60,70.5,-2.1,0,6,0.13,0.0,0
2023-06-13,83,57,70.0,-2.9,0,5,0.00,0.0,0
2023-06-14,84,60,72.0,-1.2,0,7,0.02,0.0,0
2023-06-15,84,53,68.5,-5.0,0,4,0.00,0.0,0
2023-06-16,83,59,71.0,-2.8,0,6,0.02,0.0,0
2023-06-17,85,59,72.0,-2.1,0,7,0.00,0.0,0
2023-06-18,88,58,73.0,-1.4,0,8,0.00,0.0,0
2023-06-19,90,58,74.0,-0.7,0,9,0.00,0.0,0
2023-06-20,80,70,75.0,0.0,0,10,T,0.0,0
2023-06-21,70,60,65.0,-10.3,0,0,0.34,0.0,0
2023-06-22,67,60,63.5,-12.1,1,0,0.07,0.0,0
2023-06-23,76,65,70.5,-5.3,0,6,0.98,0.0,0
2023-06-24,86,71,78.5,2.4,0,14,T,0.0,0
2023-06-25,92,67,79.5,3.2,0,15,0.00,0.0,0
2023-06-26,90,73,81.5,5.0,0,17,T,0.0,0
2023-06-27,88,68,78.0,1.2,0,13,1.77,0.0,0
2023-06-28,83,66,74.5,-2.5,0,10,0.00,0.0,0
2023-06-29,86,61,73.5,-3.7,0,9,0.00,0.0,0
2023-06-30,86,63,74.5,-2.8,0,10,0.97,0.0,0
2023-07-01,85,70,77.5,0.0,0,13,T,0.0,0
2023-07-02,90,75,82.5,4.8,0,18,0.63,0.0,0
2023-07-03,93,74,83.5,5.7,0,19,0.47,0.0,0
2023-07-04,92,72,82.0,4.1,0,17,0.07,0.0,0
2023-07-05,93,73,83.0,4.9,0,18,T,0.0,0
2023-07-06,91,73,82.0,3.8,0,17,T,0.0,0
2023-07-07,90,73,81.5,3.2,0,17,0.25,0.0,0
2023-07-08,92,74,83.0,4.7,0,18,0.01,0.0,0
2023-07-09,86,69,77.5,-0.9,0,13,1.35,0.0,0
2023-07-10,88,68,78.0,-0.5,0,13,0.00,0.0,0
2023-07-11,92,66,79.0,0.5,0,14,0.00,0.0,0
2023-07-12,93,68,80.5,1.9,0,16,0.00,0.0,0
2023-07-13,96,72,84.0,5.4,0,19,0.00,0.0,0
2023-07-14,93,72,82.5,3.9,0,18,0.02,0.0,0
2023-07-15,91,70,80.5,1.9,0,16,0.02,0.0,0
2023-07-16,87,75,81.0,2.4,0,16,0.05,0.0,0
2023-07-17,92,71,81.5,2.9,0,17,0.00,0.0,0
2023-07-18,90,72,81.0,2.4,0,16,0.00,0.0,0
2023-07-19,89,72,80.5,2.0,0,16,0.75,0.0,0
